error,anomaly
234.28723,False
235.16528,False
231.203,False
138.63441,False
139.93391,False
142.9919,False
139.2824,False
22.775614,False
17.749058,False
16.355038,False
12.10877,False
13.260988,False
18.474506,False
17.040998,False
15.601132,False
15.368097,False
15.302673,False
15.216665,False
16.180109,False
21.085424,False
20.25312,False
18.884604,False
15.505115,False
13.2970295,False
14.994436,False
11.224127,False
11.729708,False
11.799209,False
11.439246,False
115.103195,False
116.69142,False
118.429214,False
116.92467,False
115.69173,False
222.77539,False
223.72208,False
223.74887,False
225.14322,False
226.0124,False
115.827225,False
115.11023,False
117.00102,False
122.04198,False
123.303505,False
13.367218,False
17.329914,False
16.996098,False
15.202532,False
20.086649,False
20.299313,False
59.544716,False
55.956947,False
51.222534,False
55.7517,False
55.640587,False
50.412983,False
50.857914,False
56.052265,False
55.802467,False
56.662453,False
15.827288,False
16.052628,False
16.747227,False
11.656553,False
11.62808,False
15.358391,False
18.789131,False
14.2333355,False
8.964762,False
9.349412,False
71.68072,False
71.756004,False
70.85309,False
133.20757,False
133.8372,False
130.60706,False
126.80656,False
131.24504,False
131.58173,False
132.50233,False
68.83808,False
70.635704,False
71.61445,False
8.01652,False
8.508029,False
12.955493,False
14.834473,False
72.0731,False
72.2053,False
72.135666,False
72.70431,False
71.35755,False
138.83536,False
142.60657,False
142.79306,False
141.4758,False
145.5931,False
86.77527,False
91.72117,False
96.24218,False
158.49484,False
221.59297,False
153.92056,False
212.70015,False
212.05042,False
209.39839,False
209.40073,False
209.41821,False
204.74513,False
263.18445,False
200.54454,False
137.53035,False
200.00934,False
141.28302,False
142.2065,False
141.49237,False
136.65727,False
133.13881,False
135.00339,False
115.44597,False
155.6885,False
196.25143,False
172.8612,False
207.74857,False
250.80342,False
290.79315,False
330.94208,False
369.423,False
409.3742,False
405.22656,False
409.32672,False
413.42755,False
417.53378,False
421.67426,False
417.52655,False
417.52655,False
425.92676,True
508.42816,True
516.8351,True
606.4831,True
562.78235,True
518.7814,True
523.0748,True
527.3307,True
535.7564,True
505.9335,True
506.46933,True
393.41632,False
355.4393,False
234.21916,False
243.84143,False
254.83675,False
216.42627,False
177.95016,False
139.05244,False
129.5383,False
90.56608,False
90.56608,False
90.56608,False
90.566055,False
90.565895,False
80.664734,False
80.65618,False
72.19411,False
62.68923,False
172.06627,False
166.96591,False
166.9646,False
265.8553,False
256.18607,False
245.7351,False
247.019,False
236.85202,False
241.79524,False
247.04414,False
137.04453,False
228.5225,False
328.2949,False
218.30447,False
222.72961,False
222.86502,False
330.81866,False
331.0415,False
329.4676,False
324.81427,False
329.82452,False
233.70137,False
123.75602,False
123.672424,False
119.54433,False
120.98673,False
11.458981,False
11.759864,False
11.543683,False
107.387,False
107.07391,False
110.71128,False
113.874535,False
209.9449,False
212.48125,False
212.96008,False
216.88782,False
218.96964,False
215.03455,False
